training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,5000,0.2936,-1,3.4664,-1,4022.3086,-1
0,1,5000,0.3698,-1,3.1386,-1,4022.3086,-1
0,2,5000,0.3898,-1,3.4877,-1,4022.3086,-1
0,3,5000,0.4240,-1,3.1324,-1,4022.5664,-1
0,4,5000,0.4366,-1,2.8114,-1,4022.5664,-1
0,5,5000,0.4544,-1,3.3285,-1,4022.8242,-1
0,6,5000,0.4516,-1,3.4264,-1,4022.8242,-1
0,7,5000,0.4638,-1,2.7389,-1,4022.8242,-1
1,0,5000,0.2614,-1,5.4427,-1,4023.3477,-1
1,1,5000,0.3072,-1,5.2869,-1,4023.3477,-1
1,2,5000,0.3273,-1,5.1753,-1,4023.3477,-1
1,3,5000,0.3344,-1,5.1587,-1,4023.3477,-1
1,4,5000,0.3468,-1,5.3002,-1,4023.3477,-1
1,5,5000,0.3517,-1,5.1646,-1,4023.6055,-1
1,6,5000,0.3631,-1,5.2670,-1,4023.6055,-1
1,7,5000,0.3667,-1,5.4002,-1,4023.6055,-1
2,0,5000,0.2435,-1,5.4694,-1,4024.1211,-1
2,1,5000,0.2927,-1,5.3176,-1,4024.1211,-1
2,2,5000,0.3166,-1,5.1670,-1,4024.3789,-1
2,3,5000,0.3203,-1,5.2031,-1,4024.3789,-1
2,4,5000,0.3317,-1,5.2508,-1,4024.3789,-1
2,5,5000,0.3431,-1,5.2514,-1,4024.3789,-1
2,6,5000,0.3496,-1,5.1308,-1,4024.3789,-1
2,7,5000,0.3460,-1,5.1945,-1,4024.3789,-1
3,0,5000,0.2399,-1,5.4546,-1,4024.6367,-1
3,1,5000,0.2922,-1,5.2375,-1,4024.6367,-1
3,2,5000,0.3061,-1,5.0965,-1,4024.6367,-1
3,3,5000,0.3136,-1,5.5402,-1,4024.6367,-1
3,4,5000,0.3253,-1,5.7129,-1,4024.8945,-1
3,5,5000,0.3280,-1,5.6430,-1,4025.1523,-1
3,6,5000,0.3283,-1,5.5084,-1,4025.1523,-1
3,7,5000,0.3354,-1,5.5529,-1,4025.1523,-1
4,0,5000,0.2301,-1,5.7595,-1,4025.6680,-1
4,1,5000,0.2884,-1,5.6558,-1,4025.6680,-1
4,2,5000,0.3089,-1,5.4550,-1,4025.6680,-1
4,3,5000,0.3166,-1,5.5146,-1,4025.9258,-1
4,4,5000,0.3317,-1,5.4678,-1,4025.9258,-1
4,5,5000,0.3326,-1,5.6073,-1,4025.9258,-1
4,6,5000,0.3360,-1,5.5668,-1,4025.9258,-1
4,7,5000,0.3380,-1,5.5188,-1,4025.9258,-1
5,0,5000,0.2464,-1,5.6254,-1,4025.9258,-1
5,1,5000,0.3077,-1,5.6675,-1,4025.9258,-1
5,2,5000,0.3257,-1,5.4984,-1,4025.9258,-1
5,3,5000,0.3372,-1,5.4611,-1,4025.9258,-1
5,4,5000,0.3446,-1,5.5321,-1,4025.9258,-1
5,5,5000,0.3483,-1,5.5173,-1,4026.0117,-1
5,6,5000,0.3529,-1,5.5961,-1,4026.0195,-1
5,7,5000,0.3558,-1,5.4254,-1,4026.0195,-1
6,0,5000,0.2450,-1,5.7484,-1,4026.2305,-1
6,1,5000,0.3078,-1,5.6724,-1,4026.2305,-1
6,2,5000,0.3307,-1,5.5259,-1,4026.2305,-1
6,3,5000,0.3443,-1,5.6096,-1,4026.2305,-1
6,4,5000,0.3526,-1,5.5307,-1,4026.2305,-1
6,5,5000,0.3522,-1,5.6025,-1,4026.2305,-1
6,6,5000,0.3574,-1,5.5948,-1,4026.2305,-1
6,7,5000,0.3701,-1,5.4701,-1,4026.2305,-1
7,0,5000,0.2435,-1,5.7884,-1,4027.0000,-1
7,1,5000,0.3022,-1,5.6246,-1,4027.0000,-1
7,2,5000,0.3218,-1,5.4089,-1,4027.0000,-1
7,3,5000,0.3364,-1,5.3929,-1,4027.0000,-1
7,4,5000,0.3351,-1,5.9531,-1,4027.0000,-1
7,5,5000,0.3416,-1,5.7493,-1,4027.0000,-1
7,6,5000,0.3517,-1,5.3507,-1,4027.0000,-1
7,7,5000,0.3539,-1,5.3503,-1,4027.0000,-1
8,0,5000,0.2261,-1,5.4137,-1,4027.2461,-1
8,1,5000,0.2867,-1,5.3724,-1,4027.2461,-1
8,2,5000,0.3081,-1,5.2247,-1,4027.2461,-1
8,3,5000,0.3126,-1,5.1146,-1,4027.2461,-1
8,4,5000,0.3208,-1,5.1954,-1,4027.2461,-1
8,5,5000,0.3281,-1,5.1255,-1,4027.2461,-1
8,6,5000,0.3259,-1,5.1466,-1,4027.2461,-1
8,7,5000,0.3297,-1,5.3827,-1,4027.2461,-1
9,0,5000,0.2580,-1,5.4625,-1,4027.7617,-1
9,1,5000,0.3280,-1,5.6372,-1,4028.0195,-1
9,2,5000,0.3387,-1,5.7912,-1,4028.0195,-1
9,3,5000,0.3466,-1,5.5866,-1,4028.0195,-1
9,4,5000,0.3561,-1,5.4574,-1,4028.0195,-1
9,5,5000,0.3581,-1,5.5079,-1,4028.0195,-1
9,6,5000,0.3661,-1,5.3248,-1,4028.0195,-1
9,7,5000,0.3723,-1,5.3778,-1,4028.0195,-1
