training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,300000,0.8891,-1,234.6797,-1,3162.4531,-1
0,1,300000,0.9583,-1,235.4545,-1,3163.5820,-1
0,2,300000,0.9722,-1,234.6596,-1,3164.9219,-1
0,3,300000,0.9799,-1,237.1477,-1,3166.0195,-1
