training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,10000,0.2121,-1,12.7233,-1,3724.2461,-1
0,1,10000,0.3231,-1,6.0274,-1,3724.4492,-1
0,2,10000,0.3785,-1,6.6735,-1,3723.6719,-1
0,3,10000,0.4266,-1,6.0289,-1,3723.6328,-1
0,4,10000,0.4708,-1,6.5851,-1,3723.1602,-1
0,5,10000,0.5105,-1,5.9537,-1,3722.9766,-1
0,6,10000,0.5456,-1,6.1025,-1,3722.9297,-1
0,7,10000,0.5788,-1,6.6957,-1,3722.9297,-1
0,8,10000,0.6265,-1,6.3330,-1,3722.8867,-1
0,9,10000,0.6462,-1,6.9137,-1,3722.8867,-1
1,0,10000,0.2281,-1,11.1633,-1,3723.7695,-1
1,1,10000,0.3293,-1,6.5640,-1,3718.6367,-1
1,2,10000,0.3845,-1,6.6485,-1,3718.0078,-1
1,3,10000,0.4252,-1,6.6995,-1,3717.5195,-1
1,4,10000,0.4620,-1,6.9600,-1,3717.5195,-1
1,5,10000,0.5095,-1,6.8151,-1,3717.5195,-1
1,6,10000,0.5311,-1,6.3397,-1,3717.5195,-1
1,7,10000,0.5741,-1,6.5906,-1,3717.5195,-1
1,8,10000,0.5901,-1,6.7322,-1,3717.5195,-1
1,9,10000,0.6169,-1,5.9144,-1,3717.5195,-1
2,0,10000,0.2540,-1,10.5422,-1,3718.3867,-1
2,1,10000,0.3610,-1,6.3053,-1,3709.3281,-1
2,2,10000,0.4190,-1,6.4280,-1,3709.3281,-1
2,3,10000,0.4489,-1,6.4288,-1,3709.3281,-1
2,4,10000,0.4993,-1,6.4849,-1,3709.3281,-1
2,5,10000,0.5433,-1,6.1337,-1,3709.3281,-1
2,6,10000,0.5760,-1,5.9729,-1,3709.3281,-1
2,7,10000,0.6037,-1,6.5558,-1,3709.2852,-1
2,8,10000,0.6329,-1,5.8987,-1,3709.2383,-1
2,9,10000,0.6589,-1,6.6215,-1,3709.2383,-1
3,0,10000,0.2109,-1,11.0849,-1,3709.2383,-1
3,1,10000,0.3336,-1,6.5145,-1,3693.4727,-1
3,2,10000,0.3808,-1,6.0691,-1,3693.4727,-1
3,3,10000,0.4370,-1,6.8753,-1,3693.4727,-1
3,4,10000,0.4860,-1,6.6524,-1,3693.4727,-1
3,5,10000,0.5299,-1,5.9234,-1,3693.4727,-1
3,6,10000,0.5634,-1,6.6117,-1,3693.4727,-1
3,7,10000,0.5996,-1,6.3354,-1,3693.4727,-1
3,8,10000,0.6279,-1,6.0559,-1,3693.4727,-1
3,9,10000,0.6559,-1,6.6197,-1,3693.4727,-1
4,0,10000,0.2235,-1,11.3467,-1,3693.9727,-1
4,1,10000,0.3215,-1,6.1666,-1,3674.4688,-1
4,2,10000,0.3805,-1,6.0278,-1,3674.4688,-1
4,3,10000,0.4093,-1,6.3210,-1,3674.4688,-1
4,4,10000,0.4483,-1,6.2356,-1,3674.4688,-1
4,5,10000,0.4874,-1,6.2371,-1,3674.4688,-1
4,6,10000,0.5183,-1,6.3332,-1,3674.4688,-1
4,7,10000,0.5584,-1,5.8904,-1,3674.4688,-1
4,8,10000,0.5917,-1,6.1703,-1,3674.4688,-1
4,9,10000,0.6168,-1,6.5297,-1,3674.4688,-1
5,0,10000,0.2219,-1,11.4071,-1,3674.9180,-1
5,1,10000,0.3238,-1,6.0375,-1,3655.8398,-1
5,2,10000,0.3815,-1,6.1567,-1,3655.8398,-1
5,3,10000,0.4298,-1,6.2001,-1,3656.0391,-1
5,4,10000,0.4774,-1,6.0571,-1,3656.0391,-1
5,5,10000,0.5212,-1,6.1604,-1,3656.0391,-1
5,6,10000,0.5519,-1,6.0349,-1,3656.0391,-1
5,7,10000,0.5932,-1,6.5542,-1,3656.0391,-1
5,8,10000,0.6221,-1,5.9761,-1,3656.0391,-1
5,9,10000,0.6487,-1,6.0464,-1,3656.0391,-1
6,0,10000,0.1794,-1,11.3852,-1,3656.2969,-1
6,1,10000,0.2799,-1,6.4384,-1,3640.6797,-1
6,2,10000,0.3283,-1,6.4808,-1,3640.6797,-1
6,3,10000,0.3936,-1,5.9220,-1,3640.6797,-1
6,4,10000,0.4325,-1,6.1722,-1,3640.6797,-1
6,5,10000,0.4798,-1,6.0758,-1,3640.6797,-1
6,6,10000,0.5098,-1,6.5540,-1,3640.6797,-1
6,7,10000,0.5577,-1,6.1655,-1,3640.6797,-1
6,8,10000,0.5964,-1,6.0711,-1,3640.6797,-1
6,9,10000,0.6238,-1,6.6032,-1,3640.6797,-1
7,0,10000,0.2379,-1,11.2332,-1,3641.1602,-1
7,1,10000,0.3484,-1,6.6120,-1,3621.2969,-1
7,2,10000,0.4077,-1,6.5413,-1,3621.2383,-1
7,3,10000,0.4659,-1,6.1701,-1,3621.2383,-1
7,4,10000,0.5132,-1,6.6260,-1,3621.2383,-1
7,5,10000,0.5568,-1,6.3354,-1,3621.2383,-1
7,6,10000,0.6037,-1,6.7272,-1,3621.2383,-1
7,7,10000,0.6460,-1,6.8813,-1,3621.2383,-1
7,8,10000,0.6532,-1,6.4109,-1,3621.2383,-1
7,9,10000,0.7118,-1,6.4726,-1,3621.2383,-1
8,0,10000,0.2310,-1,11.8669,-1,3621.9023,-1
8,1,10000,0.3279,-1,6.2067,-1,3607.7852,-1
8,2,10000,0.3880,-1,6.7289,-1,3607.0039,-1
8,3,10000,0.4398,-1,6.5180,-1,3607.0039,-1
8,4,10000,0.4956,-1,6.5389,-1,3607.0039,-1
8,5,10000,0.5368,-1,6.5225,-1,3607.0039,-1
8,6,10000,0.5720,-1,6.0767,-1,3607.0039,-1
8,7,10000,0.6119,-1,6.1681,-1,3607.0039,-1
8,8,10000,0.6430,-1,6.0073,-1,3607.0039,-1
8,9,10000,0.6781,-1,6.2299,-1,3607.0039,-1
9,0,10000,0.2338,-1,11.7745,-1,3607.4766,-1
9,1,10000,0.3380,-1,5.9777,-1,3587.1992,-1
9,2,10000,0.3900,-1,6.6209,-1,3587.1992,-1
9,3,10000,0.4353,-1,6.4821,-1,3587.1992,-1
9,4,10000,0.4815,-1,6.1670,-1,3587.1992,-1
9,5,10000,0.5149,-1,6.1464,-1,3587.1992,-1
9,6,10000,0.5516,-1,6.0469,-1,3587.1992,-1
9,7,10000,0.5904,-1,6.1150,-1,3587.1992,-1
9,8,10000,0.6230,-1,6.6482,-1,3587.1992,-1
9,9,10000,0.6537,-1,6.3781,-1,3587.1992,-1
