,Experience,naive_means,naive_stdevs,cumulative_means,cumulative_stdevs,joint_training_means,joint_training_stdevs,replay_500_means,replay_500_stdevs,replay_2500_means,replay_2500_stdevs,lwf_means,lwf_stdevs
0,0,3.2219208333333333,0.11883253535262696,3.150279166666667,0.016516196280721922,32.46823333333334,0.24158688568160186,3.181695833333333,0.006493943492465259,3.191366666666667,0.07473128144949312,3.4538999999999995,0.3522535843057527
1,1,3.1405125,0.006233691221900638,6.317395833333333,0.06050894734114396,32.46823333333334,0.24158688568160186,5.5921666666666665,0.02780065571768692,5.561770833333333,0.3692492603947684,3.596291666666667,0.17714031882121958
2,2,3.0903916666666666,0.022316282359150622,9.48175,0.015088711633203375,32.46823333333334,0.24158688568160186,5.554170833333333,0.014140015985964434,5.376024999999999,0.12202299732017699,3.598254166666667,0.12938418103494445
3,3,3.1172124999999995,0.06575153634136609,12.686166666666667,0.016851577881116932,32.46823333333334,0.24158688568160186,5.483020833333334,0.05060779697421453,5.474141666666665,0.1991778638763187,3.7561375,0.3211540642258015
4,4,3.1533,0.05589241479172292,15.7736625,0.032835944005768385,32.46823333333334,0.24158688568160186,5.346262499999999,0.17280149919777837,5.632295833333333,0.3209798709453343,3.5477458333333334,0.09107807976996087
5,5,3.1351708333333335,0.06220849185065767,18.988241666666667,0.021972441309132607,32.46823333333334,0.24158688568160186,5.385612500000001,0.14082220838702966,5.3903541666666674,0.1301373795344112,3.5786833333333337,0.16462592887614427
6,6,3.188625,0.08889868970491069,22.205191666666668,0.19221333945536473,32.46823333333334,0.24158688568160186,5.420462499999999,0.1715412723661573,5.5162708333333335,0.13229214022225008,3.609945833333333,0.13978554575521535
7,7,3.1533208333333334,0.10638648611117557,25.5418875,0.35626702130389415,32.46823333333334,0.24158688568160186,5.5029875,0.09483818785172966,5.523783333333333,0.20401652251308772,3.6217208333333333,0.10384536982135174
8,8,3.2260166666666663,0.10677053178819192,28.70545,0.3241991404310781,32.46823333333334,0.24158688568160186,5.522729166666667,0.06261189275675427,5.451537500000001,0.27118755531227795,3.7142166666666667,0.3753561925719133
9,9,3.1245666666666665,0.08795149971480495,31.678470833333336,0.20619332567298093,32.46823333333334,0.24158688568160186,5.524987499999999,0.09557952104792096,6.089279166666667,0.8659374873090339,3.735125,0.24375730373672924
