,Experience,naive,cumulative,joint_training,replay_500,replay_2500,lwf
0,0,3.3591125,3.1312125,32.2724,3.184125,3.1912875,3.3706
0,0,3.1555625000000003,3.15945,32.3941,3.1743375,3.116675,3.8403375
0,0,3.1510875,3.160175,32.738200000000006,3.186625,3.2661375,3.1507625
0,1,3.1426125,6.2626875,32.2724,5.587174999999999,5.27445,3.6977124999999997
0,1,3.1334999999999997,6.3823875,32.3941,5.6221250000000005,5.432612499999999,3.6994125
0,1,3.145425,6.3071125,32.738200000000006,5.5672,5.97825,3.39175
0,2,3.11515,9.470075000000001,32.2724,5.542325,5.248075,3.6882124999999997
0,2,3.0842,9.498787499999999,32.3941,5.5503625,5.491099999999999,3.656575
0,2,3.0718249999999996,9.4763875,32.738200000000006,5.569825,5.3889,3.4499750000000002
0,3,3.1845749999999997,12.6996125,32.2724,5.44355,5.46825,4.120312500000001
0,3,3.0532,12.691625,32.3941,5.540075,5.277975,3.6346499999999997
0,3,3.1138625,12.6672625,32.738200000000006,5.4654375,5.6762,3.51345
0,4,3.2170375,15.741975,32.2724,5.311687500000001,5.5682,3.6525625
0,4,3.11265,15.771474999999999,32.3941,5.533737499999999,5.3482,3.502775
0,4,3.1302125,15.807537499999999,32.738200000000006,5.1933625,5.980487500000001,3.4879
0,5,3.2059375,18.9701375,32.2724,5.3428375,5.5404125,3.69185
0,5,3.1104624999999997,19.0126875,32.3941,5.5428625,5.322225,3.654375
0,5,3.0891125,18.981900000000003,32.738200000000006,5.2711375,5.308425,3.389825
0,6,3.159275,22.0807875,32.2724,5.322487499999999,5.5943000000000005,3.5602
0,6,3.2884875,22.1082125,32.3941,5.6185375,5.363524999999999,3.7678000000000003
0,6,3.1181125,22.426575,32.738200000000006,5.3203625,5.5909875,3.5018374999999997
0,7,3.0791500000000003,25.22905,32.2724,5.4506375,5.577275,3.6934375
0,7,3.2752125000000003,25.46695,32.3941,5.6124624999999995,5.29835,3.5026375
0,7,3.1056,25.9296625,32.738200000000006,5.4458625,5.6957249999999995,3.6690875
0,8,3.19585,28.4740125,32.2724,5.5615749999999995,5.24695,4.142525
0,8,3.137575,29.0759875,32.3941,5.556112499999999,5.348525,3.5575625
0,8,3.3446249999999997,28.56635,32.738200000000006,5.4505,5.7591375,3.4425625
0,9,3.1223875,31.5783,32.2724,5.562325,5.518174999999999,3.969425
0,9,3.037725,31.9156125,32.3941,5.5962625,5.6640375,3.75305
0,9,3.2135875,31.5415,32.738200000000006,5.416375,7.085624999999999,3.4829
