,Experience,naive,cumulative,joint_training,replay_500,replay_2500,lwf
0,0,5000.0,5000.0,50000.0,5000.0,5000.0,5000.0
0,0,5000.0,5000.0,50000.0,5000.0,5000.0,5000.0
0,0,5000.0,5000.0,50000.0,5000.0,5000.0,5000.0
0,1,5000.0,10000.0,50000.0,5000.0,5000.0,5000.0
0,1,5000.0,10000.0,50000.0,5000.0,5000.0,5000.0
0,1,5000.0,10000.0,50000.0,5000.0,5000.0,5000.0
0,2,5000.0,15000.0,50000.0,5000.0,5000.0,5000.0
0,2,5000.0,15000.0,50000.0,5000.0,5000.0,5000.0
0,2,5000.0,15000.0,50000.0,5000.0,5000.0,5000.0
0,3,5000.0,20000.0,50000.0,5000.0,5000.0,5000.0
0,3,5000.0,20000.0,50000.0,5000.0,5000.0,5000.0
0,3,5000.0,20000.0,50000.0,5000.0,5000.0,5000.0
0,4,5000.0,25000.0,50000.0,5000.0,5000.0,5000.0
0,4,5000.0,25000.0,50000.0,5000.0,5000.0,5000.0
0,4,5000.0,25000.0,50000.0,5000.0,5000.0,5000.0
0,5,5000.0,30000.0,50000.0,5000.0,5000.0,5000.0
0,5,5000.0,30000.0,50000.0,5000.0,5000.0,5000.0
0,5,5000.0,30000.0,50000.0,5000.0,5000.0,5000.0
0,6,5000.0,35000.0,50000.0,5000.0,5000.0,5000.0
0,6,5000.0,35000.0,50000.0,5000.0,5000.0,5000.0
0,6,5000.0,35000.0,50000.0,5000.0,5000.0,5000.0
0,7,5000.0,40000.0,50000.0,5000.0,5000.0,5000.0
0,7,5000.0,40000.0,50000.0,5000.0,5000.0,5000.0
0,7,5000.0,40000.0,50000.0,5000.0,5000.0,5000.0
0,8,5000.0,45000.0,50000.0,5000.0,5000.0,5000.0
0,8,5000.0,45000.0,50000.0,5000.0,5000.0,5000.0
0,8,5000.0,45000.0,50000.0,5000.0,5000.0,5000.0
0,9,5000.0,50000.0,50000.0,5000.0,5000.0,5000.0
0,9,5000.0,50000.0,50000.0,5000.0,5000.0,5000.0
0,9,5000.0,50000.0,50000.0,5000.0,5000.0,5000.0
