training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,10000,0.2082,-1,7.3836,-1,3830.0352,-1
0,1,10000,0.3175,-1,6.1949,-1,3830.0352,-1
0,2,10000,0.3672,-1,6.4932,-1,3830.0352,-1
0,3,10000,0.4256,-1,6.2010,-1,3830.0352,-1
0,4,10000,0.4693,-1,6.6092,-1,3830.0352,-1
0,5,10000,0.5049,-1,6.9711,-1,3830.0352,-1
0,6,10000,0.5386,-1,6.7881,-1,3830.0352,-1
0,7,10000,0.5818,-1,6.7273,-1,3829.9766,-1
0,8,10000,0.6132,-1,6.3097,-1,3829.9766,-1
0,9,10000,0.6347,-1,6.3825,-1,3829.9180,-1
1,0,10000,0.2339,-1,7.0612,-1,3831.7109,-1
1,1,10000,0.3415,-1,7.0425,-1,3831.7109,-1
1,2,10000,0.3837,-1,7.0736,-1,3831.7109,-1
1,3,10000,0.4314,-1,7.1894,-1,3831.7109,-1
1,4,10000,0.4739,-1,7.1604,-1,3831.7109,-1
1,5,10000,0.5099,-1,7.1189,-1,3831.7109,-1
1,6,10000,0.5407,-1,7.1280,-1,3831.6523,-1
1,7,10000,0.5748,-1,7.3530,-1,3831.6523,-1
1,8,10000,0.5974,-1,7.3146,-1,3831.5938,-1
1,9,10000,0.6348,-1,7.1331,-1,3831.5938,-1
2,0,10000,0.2397,-1,7.2883,-1,3831.8516,-1
2,1,10000,0.3637,-1,7.2151,-1,3831.8516,-1
2,2,10000,0.4053,-1,7.0414,-1,3832.1094,-1
2,3,10000,0.4578,-1,7.4073,-1,3832.1094,-1
2,4,10000,0.5062,-1,7.2325,-1,3832.1094,-1
2,5,10000,0.5469,-1,7.0861,-1,3832.0508,-1
2,6,10000,0.5799,-1,6.6506,-1,3831.8750,-1
2,7,10000,0.6210,-1,6.6965,-1,3831.8750,-1
2,8,10000,0.6550,-1,6.2132,-1,3831.8750,-1
2,9,10000,0.6627,-1,6.1811,-1,3831.8750,-1
3,0,10000,0.2113,-1,6.7559,-1,3832.3867,-1
3,1,10000,0.3285,-1,6.6505,-1,3832.4219,-1
3,2,10000,0.3932,-1,6.9648,-1,3832.4219,-1
3,3,10000,0.4465,-1,7.0602,-1,3832.4219,-1
3,4,10000,0.4815,-1,6.8464,-1,3832.3633,-1
3,5,10000,0.5323,-1,7.0264,-1,3832.3047,-1
3,6,10000,0.5637,-1,7.0952,-1,3832.2461,-1
3,7,10000,0.6010,-1,6.4977,-1,3832.2461,-1
3,8,10000,0.6515,-1,6.7432,-1,3832.2461,-1
3,9,10000,0.6746,-1,6.4967,-1,3832.2461,-1
4,0,10000,0.2134,-1,6.5105,-1,3832.4883,-1
4,1,10000,0.3190,-1,7.1979,-1,3832.4961,-1
4,2,10000,0.3725,-1,6.8664,-1,3832.4961,-1
4,3,10000,0.4086,-1,6.7930,-1,3832.4336,-1
4,4,10000,0.4498,-1,6.2388,-1,3832.3750,-1
4,5,10000,0.4820,-1,6.3784,-1,3832.3750,-1
4,6,10000,0.5263,-1,6.8110,-1,3832.3750,-1
4,7,10000,0.5644,-1,6.6871,-1,3832.3750,-1
4,8,10000,0.5798,-1,6.3978,-1,3832.3750,-1
4,9,10000,0.6196,-1,6.5265,-1,3832.3750,-1
5,0,10000,0.2190,-1,6.5981,-1,3832.3750,-1
5,1,10000,0.3263,-1,6.6792,-1,3832.3750,-1
5,2,10000,0.3940,-1,6.5693,-1,3832.3164,-1
5,3,10000,0.4300,-1,6.3132,-1,3832.3164,-1
5,4,10000,0.4784,-1,6.6941,-1,3832.2578,-1
5,5,10000,0.5067,-1,6.3904,-1,3832.2578,-1
5,6,10000,0.5610,-1,6.3750,-1,3832.2578,-1
5,7,10000,0.5881,-1,6.6722,-1,3832.2578,-1
5,8,10000,0.6260,-1,6.6168,-1,3832.2578,-1
5,9,10000,0.6636,-1,6.3170,-1,3832.2578,-1
6,0,10000,0.1812,-1,6.6108,-1,3832.0078,-1
6,1,10000,0.2910,-1,6.4692,-1,3832.0078,-1
6,2,10000,0.3320,-1,6.5850,-1,3831.9492,-1
6,3,10000,0.3893,-1,6.4941,-1,3831.8906,-1
6,4,10000,0.4351,-1,6.3028,-1,3831.8906,-1
6,5,10000,0.4811,-1,6.6709,-1,3831.8906,-1
6,6,10000,0.5292,-1,6.5988,-1,3831.8906,-1
6,7,10000,0.5747,-1,6.0004,-1,3831.8906,-1
6,8,10000,0.5946,-1,6.5147,-1,3831.8906,-1
6,9,10000,0.6182,-1,6.5337,-1,3831.8906,-1
7,0,10000,0.2341,-1,6.4625,-1,3832.1445,-1
7,1,10000,0.3671,-1,6.3901,-1,3832.1445,-1
7,2,10000,0.4195,-1,6.3448,-1,3832.0859,-1
7,3,10000,0.4703,-1,6.4573,-1,3832.0273,-1
7,4,10000,0.5084,-1,6.3958,-1,3832.0273,-1
7,5,10000,0.5529,-1,6.2301,-1,3832.0273,-1
7,6,10000,0.5950,-1,6.0349,-1,3832.0273,-1
7,7,10000,0.6430,-1,6.0948,-1,3832.0273,-1
7,8,10000,0.6734,-1,6.2642,-1,3832.0273,-1
7,9,10000,0.7059,-1,6.0949,-1,3832.0273,-1
8,0,10000,0.2333,-1,5.9875,-1,3832.2852,-1
8,1,10000,0.3429,-1,6.1382,-1,3832.2344,-1
8,2,10000,0.3898,-1,5.9103,-1,3832.2344,-1
8,3,10000,0.4466,-1,6.1429,-1,3832.1758,-1
8,4,10000,0.4893,-1,5.9416,-1,3832.1758,-1
8,5,10000,0.5271,-1,6.2794,-1,3832.1758,-1
8,6,10000,0.5676,-1,5.7950,-1,3832.1758,-1
8,7,10000,0.6049,-1,6.1405,-1,3832.1758,-1
8,8,10000,0.6407,-1,5.9851,-1,3832.1758,-1
8,9,10000,0.6633,-1,5.9973,-1,3832.1758,-1
9,0,10000,0.2313,-1,6.2268,-1,3832.6875,-1
9,1,10000,0.3436,-1,6.0833,-1,3832.6875,-1
9,2,10000,0.3892,-1,6.0195,-1,3832.6289,-1
9,3,10000,0.4381,-1,5.8846,-1,3832.5703,-1
9,4,10000,0.4749,-1,6.0530,-1,3832.5703,-1
9,5,10000,0.5114,-1,6.0045,-1,3832.5703,-1
9,6,10000,0.5552,-1,6.2967,-1,3832.5703,-1
9,7,10000,0.5925,-1,5.8354,-1,3832.5703,-1
9,8,10000,0.6114,-1,5.9904,-1,3832.5703,-1
9,9,10000,0.6477,-1,6.1071,-1,3832.5703,-1
