training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,10000,0.2077,-1,10.9042,-1,3801.9922,-1
0,1,10000,0.3249,-1,5.9118,-1,3801.9922,-1
0,2,10000,0.3708,-1,5.9750,-1,3801.9922,-1
0,3,10000,0.4215,-1,6.0303,-1,3801.9922,-1
0,4,10000,0.4655,-1,6.3038,-1,3801.9922,-1
0,5,10000,0.5225,-1,5.8309,-1,3801.9922,-1
0,6,10000,0.5538,-1,5.9319,-1,3801.9922,-1
0,7,10000,0.5864,-1,6.0241,-1,3801.9922,-1
0,8,10000,0.6216,-1,6.0474,-1,3801.9922,-1
0,9,10000,0.6571,-1,6.4566,-1,3801.9922,-1
1,0,10000,0.2275,-1,10.7935,-1,3803.7773,-1
1,1,10000,0.3302,-1,5.8364,-1,3803.7773,-1
1,2,10000,0.3887,-1,5.8881,-1,3803.7773,-1
1,3,10000,0.4323,-1,6.0949,-1,3803.7773,-1
1,4,10000,0.4625,-1,5.9370,-1,3804.0312,-1
1,5,10000,0.4932,-1,6.2590,-1,3804.0312,-1
1,6,10000,0.5541,-1,5.8269,-1,3804.0312,-1
1,7,10000,0.5735,-1,6.4342,-1,3804.0312,-1
1,8,10000,0.5968,-1,5.9933,-1,3804.0312,-1
1,9,10000,0.6280,-1,5.8941,-1,3804.0312,-1
2,0,10000,0.2351,-1,10.8216,-1,3804.2891,-1
2,1,10000,0.3555,-1,6.1677,-1,3804.2891,-1
2,2,10000,0.4185,-1,6.3945,-1,3804.2891,-1
2,3,10000,0.4582,-1,6.3276,-1,3804.2891,-1
2,4,10000,0.4960,-1,6.4521,-1,3804.2891,-1
2,5,10000,0.5387,-1,6.0753,-1,3804.2891,-1
2,6,10000,0.5761,-1,5.9329,-1,3804.2891,-1
2,7,10000,0.6141,-1,6.4294,-1,3804.2891,-1
2,8,10000,0.6465,-1,5.7767,-1,3804.2891,-1
2,9,10000,0.6759,-1,6.4881,-1,3804.2891,-1
3,0,10000,0.2111,-1,10.5862,-1,3804.7969,-1
3,1,10000,0.3406,-1,6.0281,-1,3804.6523,-1
3,2,10000,0.3895,-1,6.2562,-1,3804.6523,-1
3,3,10000,0.4443,-1,6.4496,-1,3804.6523,-1
3,4,10000,0.4671,-1,6.0560,-1,3804.6523,-1
3,5,10000,0.5227,-1,7.1798,-1,3804.6523,-1
3,6,10000,0.5766,-1,6.6313,-1,3804.6523,-1
3,7,10000,0.6242,-1,6.2540,-1,3804.6523,-1
3,8,10000,0.6376,-1,6.6201,-1,3804.6523,-1
3,9,10000,0.6539,-1,7.0378,-1,3804.6523,-1
4,0,10000,0.2214,-1,10.6044,-1,3804.6523,-1
4,1,10000,0.3273,-1,5.9647,-1,3804.6523,-1
4,2,10000,0.3712,-1,6.4662,-1,3804.6523,-1
4,3,10000,0.4184,-1,6.3155,-1,3804.6523,-1
4,4,10000,0.4547,-1,6.4365,-1,3804.6523,-1
4,5,10000,0.4957,-1,5.9258,-1,3804.6523,-1
4,6,10000,0.5211,-1,6.5952,-1,3804.6523,-1
4,7,10000,0.5485,-1,6.4021,-1,3804.6523,-1
4,8,10000,0.5781,-1,6.6870,-1,3804.6523,-1
4,9,10000,0.6172,-1,6.7153,-1,3804.6523,-1
5,0,10000,0.2192,-1,11.9492,-1,3804.8828,-1
5,1,10000,0.3317,-1,5.8139,-1,3805.0938,-1
5,2,10000,0.3924,-1,6.5677,-1,3805.0938,-1
5,3,10000,0.4367,-1,6.7348,-1,3805.0938,-1
5,4,10000,0.4709,-1,6.5827,-1,3805.0938,-1
5,5,10000,0.5266,-1,6.0693,-1,3805.0938,-1
5,6,10000,0.5471,-1,6.5485,-1,3805.0938,-1
5,7,10000,0.5941,-1,5.8180,-1,3805.0938,-1
5,8,10000,0.6240,-1,6.4257,-1,3805.0938,-1
5,9,10000,0.6622,-1,6.2344,-1,3805.0938,-1
6,0,10000,0.1773,-1,11.2422,-1,3805.3516,-1
6,1,10000,0.2767,-1,6.2635,-1,3805.2148,-1
6,2,10000,0.3351,-1,6.3035,-1,3805.2148,-1
6,3,10000,0.3864,-1,6.0120,-1,3805.2148,-1
6,4,10000,0.4449,-1,6.0626,-1,3805.2148,-1
6,5,10000,0.4704,-1,5.9499,-1,3805.2148,-1
6,6,10000,0.5199,-1,6.3064,-1,3805.2148,-1
6,7,10000,0.5571,-1,5.8560,-1,3805.2148,-1
6,8,10000,0.5909,-1,6.0396,-1,3805.4492,-1
6,9,10000,0.6359,-1,6.5494,-1,3805.4492,-1
7,0,10000,0.2323,-1,10.9690,-1,3805.5898,-1
7,1,10000,0.3568,-1,6.1225,-1,3802.8867,-1
7,2,10000,0.4071,-1,6.2907,-1,3802.8867,-1
7,3,10000,0.4657,-1,6.0652,-1,3802.8867,-1
7,4,10000,0.5160,-1,6.6145,-1,3802.8867,-1
7,5,10000,0.5469,-1,6.4277,-1,3802.8867,-1
7,6,10000,0.5940,-1,6.3915,-1,3802.8633,-1
7,7,10000,0.6363,-1,6.4382,-1,3802.8633,-1
7,8,10000,0.6718,-1,6.4146,-1,3802.8125,-1
7,9,10000,0.7015,-1,5.9315,-1,3802.8125,-1
8,0,10000,0.2323,-1,10.7830,-1,3803.0703,-1
8,1,10000,0.3376,-1,6.0167,-1,3791.3477,-1
8,2,10000,0.3951,-1,6.3952,-1,3791.3477,-1
8,3,10000,0.4363,-1,6.2344,-1,3791.3477,-1
8,4,10000,0.4862,-1,6.4163,-1,3791.3477,-1
8,5,10000,0.5287,-1,6.4795,-1,3791.3477,-1
8,6,10000,0.5828,-1,5.9089,-1,3791.3477,-1
8,7,10000,0.6204,-1,6.5799,-1,3791.3477,-1
8,8,10000,0.6386,-1,5.9239,-1,3791.3477,-1
8,9,10000,0.6864,-1,6.3982,-1,3791.3242,-1
9,0,10000,0.2354,-1,11.0491,-1,3791.8203,-1
9,1,10000,0.3360,-1,6.2752,-1,3786.4219,-1
9,2,10000,0.3928,-1,6.1653,-1,3786.0156,-1
