training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,10000,0.2049,-1,6.4872,-1,3548.4102,-1
0,1,10000,0.3164,-1,6.1478,-1,3548.5469,-1
0,2,10000,0.3767,-1,6.3524,-1,3548.5469,-1
0,3,10000,0.4246,-1,6.5316,-1,3548.5469,-1
0,4,10000,0.4678,-1,6.7476,-1,3548.5469,-1
0,5,10000,0.4997,-1,6.7268,-1,3548.5469,-1
0,6,10000,0.5496,-1,6.6618,-1,3548.5469,-1
0,7,10000,0.5903,-1,6.4781,-1,3548.5469,-1
0,8,10000,0.6106,-1,6.6848,-1,3548.5469,-1
0,9,10000,0.6591,-1,6.1445,-1,3548.5469,-1
1,0,10000,0.5242,-1,11.5908,-1,3588.0430,-1
1,1,10000,0.6257,-1,11.3462,-1,3587.9609,-1
1,2,10000,0.6742,-1,10.9159,-1,3597.1914,-1
1,3,10000,0.7022,-1,12.0206,-1,3597.1914,-1
1,4,10000,0.7309,-1,11.7549,-1,3597.0898,-1
1,5,10000,0.7470,-1,11.4233,-1,3597.0898,-1
1,6,10000,0.7663,-1,11.1096,-1,3597.0898,-1
1,7,10000,0.7824,-1,11.2528,-1,3597.0898,-1
1,8,10000,0.8029,-1,11.0100,-1,3597.0898,-1
1,9,10000,0.8199,-1,11.5906,-1,3597.0117,-1
2,0,10000,0.5584,-1,11.8550,-1,3597.9375,-1
2,1,10000,0.6547,-1,11.4712,-1,3598.0117,-1
2,2,10000,0.6940,-1,11.5170,-1,3598.0117,-1
2,3,10000,0.7198,-1,11.5479,-1,3598.0117,-1
2,4,10000,0.7428,-1,12.3962,-1,3597.9336,-1
2,5,10000,0.7639,-1,11.5244,-1,3597.8555,-1
2,6,10000,0.7809,-1,12.0840,-1,3597.8555,-1
2,7,10000,0.8008,-1,11.8957,-1,3597.8555,-1
2,8,10000,0.8186,-1,11.9252,-1,3597.8555,-1
2,9,10000,0.8318,-1,11.5121,-1,3597.8555,-1
3,0,10000,0.5695,-1,11.7125,-1,3598.2539,-1
3,1,10000,0.6557,-1,11.6034,-1,3598.3906,-1
3,2,10000,0.6892,-1,11.6930,-1,3598.3906,-1
3,3,10000,0.7101,-1,11.9419,-1,3598.3906,-1
3,4,10000,0.7394,-1,11.5072,-1,3598.3906,-1
3,5,10000,0.7594,-1,11.4672,-1,3598.3125,-1
3,6,10000,0.7770,-1,11.9852,-1,3598.2109,-1
3,7,10000,0.7982,-1,12.3574,-1,3598.2109,-1
3,8,10000,0.8160,-1,12.1500,-1,3598.2109,-1
3,9,10000,0.8380,-1,11.8458,-1,3598.2109,-1
4,0,10000,0.5853,-1,12.1501,-1,3598.5391,-1
4,1,10000,0.6550,-1,11.5293,-1,3598.4922,-1
4,2,10000,0.6829,-1,11.5218,-1,3598.4922,-1
4,3,10000,0.7068,-1,11.6751,-1,3598.4922,-1
4,4,10000,0.7248,-1,12.5456,-1,3598.4922,-1
4,5,10000,0.7463,-1,11.7972,-1,3598.4922,-1
4,6,10000,0.7660,-1,12.5396,-1,3598.4922,-1
4,7,10000,0.7843,-1,12.2691,-1,3598.3125,-1
4,8,10000,0.7992,-1,12.6147,-1,3598.3125,-1
4,9,10000,0.8160,-1,11.4960,-1,3598.3125,-1
5,0,10000,0.5932,-1,12.3066,-1,3599.0781,-1
5,1,10000,0.6671,-1,11.5716,-1,3599.0781,-1
5,2,10000,0.6976,-1,11.2434,-1,3598.8984,-1
5,3,10000,0.7173,-1,11.5944,-1,3598.8984,-1
5,4,10000,0.7399,-1,11.7851,-1,3598.8984,-1
5,5,10000,0.7581,-1,11.9686,-1,3598.8984,-1
5,6,10000,0.7836,-1,11.0980,-1,3598.8984,-1
5,7,10000,0.7981,-1,11.5124,-1,3598.8984,-1
5,8,10000,0.8228,-1,11.4531,-1,3598.8203,-1
5,9,10000,0.8332,-1,11.2138,-1,3598.7188,-1
6,0,10000,0.5750,-1,12.1936,-1,3598.7227,-1
6,1,10000,0.6434,-1,11.6522,-1,3598.7305,-1
6,2,10000,0.6728,-1,11.5737,-1,3598.7344,-1
6,3,10000,0.6960,-1,12.0884,-1,3598.6367,-1
6,4,10000,0.7212,-1,11.9023,-1,3598.5664,-1
6,5,10000,0.7375,-1,11.6139,-1,3598.5742,-1
6,6,10000,0.7594,-1,12.1722,-1,3598.5820,-1
6,7,10000,0.7821,-1,11.9296,-1,3598.5859,-1
6,8,10000,0.7980,-1,11.7811,-1,3598.5898,-1
6,9,10000,0.8208,-1,11.8852,-1,3598.5195,-1
7,0,10000,0.5993,-1,11.8016,-1,3598.9062,-1
7,1,10000,0.6767,-1,11.8058,-1,3599.0820,-1
7,2,10000,0.7046,-1,12.1094,-1,3599.0820,-1
7,3,10000,0.7315,-1,12.1730,-1,3599.0820,-1
7,4,10000,0.7489,-1,11.7548,-1,3598.9805,-1
7,5,10000,0.7736,-1,12.1384,-1,3598.9023,-1
7,6,10000,0.7935,-1,12.4267,-1,3598.9023,-1
7,7,10000,0.8137,-1,12.0176,-1,3598.9023,-1
7,8,10000,0.8302,-1,11.8304,-1,3598.9023,-1
7,9,10000,0.8505,-1,11.7978,-1,3598.9023,-1
8,0,10000,0.6024,-1,12.2403,-1,3599.1602,-1
8,1,10000,0.6728,-1,12.8490,-1,3599.2070,-1
8,2,10000,0.7018,-1,11.7535,-1,3599.2070,-1
8,3,10000,0.7241,-1,12.3959,-1,3599.2070,-1
8,4,10000,0.7494,-1,12.0455,-1,3599.2070,-1
8,5,10000,0.7632,-1,11.7378,-1,3599.1055,-1
8,6,10000,0.7857,-1,11.6840,-1,3599.0039,-1
8,7,10000,0.8101,-1,12.1031,-1,3599.0039,-1
8,8,10000,0.8238,-1,12.0826,-1,3599.0039,-1
8,9,10000,0.8417,-1,12.0043,-1,3599.0039,-1
