training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,5000,0.2896,-1,3.8890,-1,4036.2891,-1
0,1,5000,0.3756,-1,3.2791,-1,4036.2891,-1
0,2,5000,0.4038,-1,3.0043,-1,4036.2891,-1
0,3,5000,0.4124,-1,3.5710,-1,4036.2891,-1
0,4,5000,0.4250,-1,2.9170,-1,4036.2891,-1
0,5,5000,0.4546,-1,3.2359,-1,4036.5117,-1
0,6,5000,0.4644,-1,3.5250,-1,4036.5117,-1
0,7,5000,0.4772,-1,2.7078,-1,4036.5117,-1
1,0,5000,0.2657,-1,5.7839,-1,4037.2773,-1
1,1,5000,0.3082,-1,5.6291,-1,4037.2773,-1
1,2,5000,0.3285,-1,6.6624,-1,4037.2773,-1
1,3,5000,0.3399,-1,8.2051,-1,4037.5352,-1
1,4,5000,0.3506,-1,5.4690,-1,4037.5352,-1
1,5,5000,0.3554,-1,5.3141,-1,4037.5352,-1
1,6,5000,0.3639,-1,5.3682,-1,4037.5352,-1
1,7,5000,0.3690,-1,5.3942,-1,4037.5352,-1
2,0,5000,0.2404,-1,5.5455,-1,4038.3086,-1
2,1,5000,0.2902,-1,5.3175,-1,4038.3086,-1
2,2,5000,0.3123,-1,5.4456,-1,4038.3086,-1
2,3,5000,0.3222,-1,5.4053,-1,4038.3086,-1
2,4,5000,0.3300,-1,5.3396,-1,4038.3086,-1
2,5,5000,0.3333,-1,5.3421,-1,4038.3086,-1
2,6,5000,0.3415,-1,5.3115,-1,4038.3086,-1
2,7,5000,0.3565,-1,5.4041,-1,4038.3086,-1
3,0,5000,0.2328,-1,5.9734,-1,2855.8984,-1
3,1,5000,0.2799,-1,5.7278,-1,2855.8984,-1
3,2,5000,0.3038,-1,5.7670,-1,2855.8984,-1
3,3,5000,0.3098,-1,5.5591,-1,2855.8984,-1
3,4,5000,0.3137,-1,5.4880,-1,2855.8984,-1
3,5,5000,0.3240,-1,5.3380,-1,2855.8984,-1
3,6,5000,0.3224,-1,5.7159,-1,2855.8984,-1
3,7,5000,0.3269,-1,5.8404,-1,2855.8984,-1
4,0,5000,0.2214,-1,5.9305,-1,2855.9023,-1
4,1,5000,0.2812,-1,6.0235,-1,2855.9023,-1
4,2,5000,0.3026,-1,5.9642,-1,2855.9023,-1
4,3,5000,0.3161,-1,5.9881,-1,2855.9023,-1
4,4,5000,0.3168,-1,5.9336,-1,2855.9023,-1
4,5,5000,0.3289,-1,5.9605,-1,2855.9023,-1
4,6,5000,0.3251,-1,6.0521,-1,2855.9023,-1
4,7,5000,0.3372,-1,5.9914,-1,2855.9023,-1
5,0,5000,0.2450,-1,5.4962,-1,2855.9023,-1
5,1,5000,0.3069,-1,5.7092,-1,2855.9023,-1
5,2,5000,0.3282,-1,5.2560,-1,2855.9023,-1
5,3,5000,0.3326,-1,5.2659,-1,2855.9023,-1
5,4,5000,0.3449,-1,5.1272,-1,2855.9023,-1
5,5,5000,0.3513,-1,5.2626,-1,2855.9023,-1
5,6,5000,0.3527,-1,5.1670,-1,2855.9023,-1
5,7,5000,0.3571,-1,5.1833,-1,2855.9023,-1
6,0,5000,0.2479,-1,5.4656,-1,2855.9023,-1
6,1,5000,0.3144,-1,5.2386,-1,2855.9023,-1
6,2,5000,0.3337,-1,5.3139,-1,2855.9023,-1
6,3,5000,0.3446,-1,5.6042,-1,2855.9023,-1
6,4,5000,0.3455,-1,5.7775,-1,2855.9023,-1
6,5,5000,0.3578,-1,5.8691,-1,2855.9023,-1
6,6,5000,0.3618,-1,5.7429,-1,2855.9023,-1
6,7,5000,0.3686,-1,5.7161,-1,2855.9023,-1
7,0,5000,0.2468,-1,5.8865,-1,2855.9023,-1
7,1,5000,0.3046,-1,5.9100,-1,2855.9023,-1
7,2,5000,0.3225,-1,5.8316,-1,2855.9023,-1
7,3,5000,0.3345,-1,5.8643,-1,2855.9023,-1
7,4,5000,0.3438,-1,5.7818,-1,2855.9023,-1
7,5,5000,0.3488,-1,5.6494,-1,2855.9023,-1
7,6,5000,0.3558,-1,5.2689,-1,2855.9023,-1
7,7,5000,0.3545,-1,5.3733,-1,2855.9023,-1
8,0,5000,0.2316,-1,5.6539,-1,2855.9023,-1
8,1,5000,0.2937,-1,5.7420,-1,2855.9023,-1
8,2,5000,0.3082,-1,5.7991,-1,2855.9023,-1
8,3,5000,0.3115,-1,5.8148,-1,2855.9023,-1
8,4,5000,0.3159,-1,5.7080,-1,2855.9023,-1
8,5,5000,0.3259,-1,5.8164,-1,2855.9023,-1
8,6,5000,0.3344,-1,5.6988,-1,2855.9023,-1
8,7,5000,0.3358,-1,5.8401,-1,2855.9023,-1
9,0,5000,0.2598,-1,8.6876,-1,2855.9023,-1
9,1,5000,0.3300,-1,6.4426,-1,2855.9023,-1
9,2,5000,0.3417,-1,6.4191,-1,2855.9023,-1
9,3,5000,0.3509,-1,7.5474,-1,2855.9023,-1
9,4,5000,0.3603,-1,6.9091,-1,2855.9023,-1
9,5,5000,0.3705,-1,7.1830,-1,2855.9023,-1
9,6,5000,0.3735,-1,6.9351,-1,2855.9023,-1
9,7,5000,0.3762,-1,6.5611,-1,2855.9023,-1
