,Experience,naive_means,naive_stdevs,cumulative_means,cumulative_stdevs,joint_training_means,joint_training_stdevs,replay_500_means,replay_500_stdevs,replay_2500_means,replay_2500_stdevs,lwf_means,lwf_stdevs
0,0,5.3142625,0.07326463910884937,5.382841666666667,0.23224313173823571,26.432937499999998,0.2915011502979026,5.308408333333333,0.06000584520139102,5.508554166666666,0.3328709853150067,5.370783333333333,0.05714000122141482
1,1,5.232104166666667,0.15566977986938668,11.081391666666667,0.26759698718797914,26.432937499999998,0.2915011502979026,7.315170833333333,0.026662117124927418,7.910270833333333,0.5943780434114156,5.729620833333333,0.14080639763371341
2,2,4.858841666666667,0.1893990208913009,15.766770833333334,0.058538932468770226,26.432937499999998,0.2915011502979026,7.025829166666667,0.22322968914233499,7.30565,0.39834338849320683,5.337841666666667,0.02804567238600895
3,3,5.204066666666667,0.15625698301062743,21.089716666666668,0.1419596181210812,26.432937499999998,0.2915011502979026,8.0077,0.49143432054166747,8.039175,0.2238157316158768,5.889945833333333,0.14745093587218594
4,4,5.0013375,0.07678938016581444,26.448516666666666,0.10692806309423032,26.432937499999998,0.2915011502979026,7.681304166666666,0.22056540070823324,7.624441666666667,0.03834025775321969,5.8949,0.16520269699296716
