,Experience,naive_means,naive_stdevs,cumulative_means,cumulative_stdevs,joint_training_means,joint_training_stdevs,replay_500_means,replay_500_stdevs,replay_2500_means,replay_2500_stdevs,lwf_means,lwf_stdevs
0,0,0.19984666666666664,4.61880215351842e-05,0.19982,0.0,0.9735399999999998,0.0003815756805666769,0.19984666666666664,4.61880215351842e-05,0.19984666666666664,4.61880215351842e-05,0.19984666666666664,4.61880215351842e-05
1,1,0.19813999999999998,0.0002645751311064614,0.3964666666666667,0.00025166114784235633,0.9735399999999998,0.0003815756805666769,0.39357333333333333,0.0008619358058076507,0.3948666666666667,0.0006021074101298915,0.30483333333333335,0.01129425222550541
2,2,0.1995,6.928203230276028e-05,0.5924133333333333,0.0006184927916583326,0.9735399999999998,0.0003815756805666769,0.5715133333333333,0.0006407287517611226,0.58414,0.0014730919862656535,0.2828933333333333,0.005630251622559457
3,3,0.19948,0.00016370705543745844,0.78782,0.000283548937575166,0.9735399999999998,0.0003815756805666769,0.7447466666666666,0.0011303686714224373,0.7691733333333334,0.0015601709308063572,0.35354,0.0021165065556241623
4,4,0.1980133333333333,0.0002309401076758409,0.97798,0.0009937806599042641,0.9735399999999998,0.0003815756805666769,0.8819,0.004168644863741707,0.9396266666666667,0.0007943131204590948,0.29414,0.004934288195879938
