,Experience,naive,cumulative,joint_training,replay_500,replay_2500,lwf
0,0,5.335275,5.6510125,26.3094125,5.333375,5.309,5.434687499999999
1,0,5.232787500000001,5.2483375,26.7658625,5.3519,5.892825,5.35305
2,0,5.374725,5.249174999999999,26.2235375,5.23995,5.3238375,5.3246125
3,1,5.282875,11.3743375,26.3094125,7.314525,7.347325,5.869325
4,1,5.35605,10.849799999999998,26.7658625,7.34215,8.531749999999999,5.7318
5,1,5.0573875,11.0200375,26.2235375,7.2888375,7.8517375000000005,5.587737499999999
6,2,4.6679625,15.803875,26.3094125,6.768075,6.851850000000001,5.305737499999999
7,2,5.046725,15.6992875,26.7658625,7.156600000000001,7.5975625,5.357575
8,2,4.8618375,15.797149999999998,26.2235375,7.1528125,7.467537500000001,5.3502125
9,3,5.0236374999999995,21.2252625,26.3094125,7.688762499999999,7.80785,6.002425000000001
10,3,5.2947625,21.101775,26.7658625,7.7607,8.0550375,5.9444
11,3,5.293800000000001,20.9421125,26.2235375,8.5736375,8.254637500000001,5.723012499999999
12,4,4.913,26.561162500000002,26.3094125,7.478199999999999,7.581525,5.9279375000000005
13,4,5.052137500000001,26.435975,26.7658625,7.649775,7.636487499999999,5.715674999999999
14,4,5.038874999999999,26.3484125,26.2235375,7.9159375,7.6553125,6.0410875
