,Experience,naive,cumulative,joint_training,replay_500,replay_2500,lwf
0,0,60000.0,60000.0,300000.0,60500,62500,60000.0
1,0,60000.0,60000.0,300000.0,60500,62500,60000.0
2,0,60000.0,60000.0,300000.0,60500,62500,60000.0
3,1,60000.0,120000.0,300000.0,60500,62500,60000.0
4,1,60000.0,120000.0,300000.0,60500,62500,60000.0
5,1,60000.0,120000.0,300000.0,60500,62500,60000.0
6,2,60000.0,180000.0,300000.0,60500,62500,60000.0
7,2,60000.0,180000.0,300000.0,60500,62500,60000.0
8,2,60000.0,180000.0,300000.0,60500,62500,60000.0
9,3,60000.0,240000.0,300000.0,60500,62500,60000.0
10,3,60000.0,240000.0,300000.0,60500,62500,60000.0
11,3,60000.0,240000.0,300000.0,60500,62500,60000.0
12,4,60000.0,300000.0,300000.0,60500,62500,60000.0
13,4,60000.0,300000.0,300000.0,60500,62500,60000.0
14,4,60000.0,300000.0,300000.0,60500,62500,60000.0
