,Experience,naive_means,naive_stdevs,cumulative_means,cumulative_stdevs,joint_training_means,joint_training_stdevs,replay_500_means,replay_500_stdevs,replay_2500_means,replay_2500_stdevs,lwf_means,lwf_stdevs
0,0,0.27787999999999996,0.006684309986827372,0.26759333333333335,0.0032489588075771945,0.9744533333333333,0.0003807011076071744,0.2788,0.008976324414814768,0.2778666666666667,0.012269349344335026,0.2738933333333333,0.002951090194035644
1,1,0.44503999999999994,0.004875940934835001,0.44408000000000003,0.007205442387529053,0.9744533333333333,0.0003807011076071744,0.4515599999999999,0.011573279569767565,0.4468266666666667,0.00713061942143419,0.43926,0.0009297311439335778
2,2,0.5940266666666667,0.00445314869876736,0.6171666666666666,0.003698125651371686,0.9744533333333333,0.0003807011076071744,0.6076066666666667,0.0023537487829701827,0.6111066666666666,0.0020550750189064484,0.5856799999999999,0.002169976958403015
3,3,0.7451599999999999,0.007641963098576213,0.7971466666666666,0.0010190845565179255,0.9744533333333333,0.0003807011076071744,0.7782133333333333,0.004338494362487172,0.7833866666666666,0.002341481012806512,0.7149800000000001,0.008955646263670737
4,4,0.9133466666666666,0.014586656002433534,0.9786999999999999,0.0008942035562443365,0.9744533333333333,0.0003807011076071744,0.95368,0.0008052328855679621,0.9607066666666665,0.0008953956295031506,0.8233066666666667,0.01610255052261379
