,Experience,naive,cumulative,joint_training,replay_500,replay_2500,lwf
0,0,44.1916,46.201150000000005,234.86655,44.304075000000005,47.617675,45.192975000000004
0,0,44.378125000000004,46.748000000000005,231.973275,44.75364999999999,48.435225,44.6475
0,0,46.066125,43.898275,235.48537499999998,45.100950000000005,45.559925,45.274125
0,1,45.226125,93.978175,234.86655,70.890825,72.432125,50.519475
0,1,53.637575,96.35470000000001,231.973275,68.43312499999999,70.316925,46.460424999999994
0,1,46.248774999999995,92.437275,235.48537499999998,69.552675,70.278025,46.73174999999999
0,2,48.34700000000001,132.4022,234.86655,69.09375,70.18482500000002,51.575174999999994
0,2,47.3245,137.97415,231.973275,68.60345000000001,69.40492499999999,47.035450000000004
0,2,49.484425,141.63707499999998,235.48537499999998,69.465675,69.78812500000001,49.34757499999999
0,3,45.708299999999994,180.41970000000003,234.86655,72.1107,69.92415,47.4334
0,3,46.511525,180.3766,231.973275,68.842725,69.43215,48.886075000000005
0,3,46.871975000000006,180.507,235.48537499999998,70.41785,70.03732500000001,49.079625
0,4,45.95885,236.46117500000003,234.86655,69.707175,70.16940000000001,49.790724999999995
0,4,48.9939,229.845025,231.973275,69.58200000000001,69.404125,46.419675
0,4,46.64825,235.801375,235.48537499999998,69.84545,69.91307499999999,49.065875
