training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,10000,0.2081,-1,6.2827,-1,3846.7070,-1
0,1,10000,0.3174,-1,6.2817,-1,3846.7070,-1
0,2,10000,0.3786,-1,5.8115,-1,3846.7070,-1
0,3,10000,0.4267,-1,5.9213,-1,3846.7070,-1
0,4,10000,0.4722,-1,6.2158,-1,3846.7070,-1
0,5,10000,0.5039,-1,6.1564,-1,3846.7070,-1
0,6,10000,0.5468,-1,5.9352,-1,3846.7070,-1
0,7,10000,0.5828,-1,5.9820,-1,3846.6484,-1
0,8,10000,0.6250,-1,5.8514,-1,3846.6484,-1
0,9,10000,0.6591,-1,6.2600,-1,3846.5898,-1
1,0,10000,0.5264,-1,11.2377,-1,3804.8438,-1
1,1,10000,0.6334,-1,10.8876,-1,3804.8125,-1
1,2,10000,0.6794,-1,11.1035,-1,3804.8125,-1
1,3,10000,0.7043,-1,10.8871,-1,3777.0391,-1
1,4,10000,0.7243,-1,11.0931,-1,3776.9922,-1
1,5,10000,0.7473,-1,11.3214,-1,3776.9102,-1
1,6,10000,0.7615,-1,11.1210,-1,3776.9141,-1
1,7,10000,0.7841,-1,11.2044,-1,3804.8438,-1
1,8,10000,0.8028,-1,10.8675,-1,3804.6484,-1
1,9,10000,0.8213,-1,10.9930,-1,3783.7695,-1
2,0,10000,0.5587,-1,11.4489,-1,3777.8008,-1
2,1,10000,0.6491,-1,11.0666,-1,3777.7969,-1
2,2,10000,0.6963,-1,11.0205,-1,3777.8359,-1
2,3,10000,0.7182,-1,11.4330,-1,3777.8359,-1
2,4,10000,0.7413,-1,11.0441,-1,3805.6875,-1
2,5,10000,0.7648,-1,11.0368,-1,3777.8359,-1
2,6,10000,0.7791,-1,11.2410,-1,3777.7188,-1
2,7,10000,0.8032,-1,11.2456,-1,3777.7188,-1
2,8,10000,0.8212,-1,11.2361,-1,3777.7188,-1
2,9,10000,0.8369,-1,11.2615,-1,3777.7305,-1
3,0,10000,0.5735,-1,11.1753,-1,3778.3281,-1
3,1,10000,0.6532,-1,11.2990,-1,3778.3906,-1
3,2,10000,0.6883,-1,11.2327,-1,3806.1836,-1
3,3,10000,0.7164,-1,11.6791,-1,3778.2852,-1
3,4,10000,0.7350,-1,11.2989,-1,3778.2734,-1
3,5,10000,0.7563,-1,11.7827,-1,3778.2930,-1
3,6,10000,0.7756,-1,11.0497,-1,3778.1992,-1
3,7,10000,0.8007,-1,11.1820,-1,3778.2109,-1
3,8,10000,0.8181,-1,11.0781,-1,3778.1992,-1
3,9,10000,0.8397,-1,11.2757,-1,3778.1992,-1
4,0,10000,0.5840,-1,11.1300,-1,3778.5547,-1
4,1,10000,0.6530,-1,11.5359,-1,3778.6719,-1
4,2,10000,0.6843,-1,11.5394,-1,3806.3789,-1
4,3,10000,0.7065,-1,11.1819,-1,3778.6133,-1
4,4,10000,0.7247,-1,11.6889,-1,3806.5508,-1
4,5,10000,0.7416,-1,10.9979,-1,3789.2773,-1
4,6,10000,0.7615,-1,11.2646,-1,3778.6133,-1
4,7,10000,0.7777,-1,11.5511,-1,3778.5547,-1
4,8,10000,0.7920,-1,11.7771,-1,3778.4961,-1
4,9,10000,0.8122,-1,11.2746,-1,3806.2617,-1
5,0,10000,0.5939,-1,11.4709,-1,3779.3594,-1
5,1,10000,0.6660,-1,11.5736,-1,3779.3594,-1
5,2,10000,0.6932,-1,12.1014,-1,3779.3594,-1
5,3,10000,0.7224,-1,11.7479,-1,3779.2422,-1
5,4,10000,0.7402,-1,11.8586,-1,3779.2422,-1
5,5,10000,0.7599,-1,12.0142,-1,3779.2422,-1
5,6,10000,0.7789,-1,11.7738,-1,3779.2539,-1
5,7,10000,0.7994,-1,11.5991,-1,3779.2539,-1
5,8,10000,0.8130,-1,12.1533,-1,3807.1797,-1
5,9,10000,0.8364,-1,12.4550,-1,3779.1250,-1
6,0,10000,0.5704,-1,13.3577,-1,3779.2500,-1
6,1,10000,0.6431,-1,13.1076,-1,3779.2500,-1
6,2,10000,0.6731,-1,12.0970,-1,3779.2617,-1
6,3,10000,0.6923,-1,12.0691,-1,3807.1016,-1
6,4,10000,0.7161,-1,12.1216,-1,3779.1328,-1
6,5,10000,0.7334,-1,11.5420,-1,3779.1445,-1
6,6,10000,0.7552,-1,11.2729,-1,3779.1328,-1
6,7,10000,0.7764,-1,11.8312,-1,3806.9844,-1
6,8,10000,0.7975,-1,11.2717,-1,3806.9844,-1
6,9,10000,0.8191,-1,11.4994,-1,3779.0742,-1
7,0,10000,0.5992,-1,11.5895,-1,3779.3320,-1
7,1,10000,0.6698,-1,11.3468,-1,3779.5156,-1
7,2,10000,0.7050,-1,11.4957,-1,3779.5156,-1
7,3,10000,0.7300,-1,11.7635,-1,3779.5039,-1
7,4,10000,0.7480,-1,11.2684,-1,3779.5039,-1
7,5,10000,0.7678,-1,11.4443,-1,3779.4453,-1
7,6,10000,0.7919,-1,11.1511,-1,3807.2383,-1
7,7,10000,0.8081,-1,11.5452,-1,3779.3867,-1
7,8,10000,0.8253,-1,11.5168,-1,3807.1523,-1
7,9,10000,0.8489,-1,11.1579,-1,3779.3867,-1
8,0,10000,0.6015,-1,11.4809,-1,3779.7734,-1
8,1,10000,0.6735,-1,12.2746,-1,3779.8398,-1
8,2,10000,0.7021,-1,13.2039,-1,3779.7617,-1
8,3,10000,0.7252,-1,12.7250,-1,3807.6992,-1
8,4,10000,0.7502,-1,13.0482,-1,3807.6992,-1
8,5,10000,0.7648,-1,13.0636,-1,3807.5195,-1
8,6,10000,0.7864,-1,12.9357,-1,3807.4922,-1
8,7,10000,0.8045,-1,12.9855,-1,3779.6797,-1
8,8,10000,0.8260,-1,13.1303,-1,3779.6914,-1
8,9,10000,0.8382,-1,13.2035,-1,3807.4453,-1
9,0,10000,0.6043,-1,14.0936,-1,3780.4258,-1
9,1,10000,0.6694,-1,13.1335,-1,3780.3047,-1
9,2,10000,0.6993,-1,13.0881,-1,3780.5586,-1
9,3,10000,0.7218,-1,13.4072,-1,3808.3242,-1
9,4,10000,0.7415,-1,13.4954,-1,3780.5625,-1
9,5,10000,0.7533,-1,13.2177,-1,3808.4141,-1
9,6,10000,0.7719,-1,13.5867,-1,3780.5117,-1
9,7,10000,0.7977,-1,13.5900,-1,3780.5195,-1
9,8,10000,0.8125,-1,13.0951,-1,3808.4023,-1
9,9,10000,0.8295,-1,13.3275,-1,3780.4258,-1
