training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,10000,0.2042,-1,6.1828,-1,3844.7070,-1
0,1,10000,0.3127,-1,6.0477,-1,3844.9648,-1
0,2,10000,0.3670,-1,6.4026,-1,3844.9648,-1
0,3,10000,0.4179,-1,5.8501,-1,3844.9648,-1
0,4,10000,0.4623,-1,6.4489,-1,3844.9648,-1
0,5,10000,0.5101,-1,6.0105,-1,3844.9648,-1
0,6,10000,0.5383,-1,6.2447,-1,3844.9062,-1
0,7,10000,0.5840,-1,6.4064,-1,3844.9062,-1
0,8,10000,0.6187,-1,6.2689,-1,3844.7891,-1
0,9,10000,0.6536,-1,6.3374,-1,3844.7891,-1
1,0,10000,0.5530,-1,10.8179,-1,3879.8398,-1
1,1,10000,0.6421,-1,10.3460,-1,3879.7812,-1
1,2,10000,0.6687,-1,10.3052,-1,3852.0039,-1
1,3,10000,0.6919,-1,10.8422,-1,3879.8984,-1
1,4,10000,0.7155,-1,10.5774,-1,3879.7305,-1
1,5,10000,0.7342,-1,10.6256,-1,3879.8477,-1
1,6,10000,0.7499,-1,10.5737,-1,3851.9258,-1
1,7,10000,0.7739,-1,11.0281,-1,3851.9023,-1
1,8,10000,0.7893,-1,10.4187,-1,3879.6992,-1
1,9,10000,0.8030,-1,10.5785,-1,3851.8633,-1
2,0,10000,0.5698,-1,10.9272,-1,3879.9492,-1
2,1,10000,0.6543,-1,10.2722,-1,3879.8750,-1
2,2,10000,0.6853,-1,10.9461,-1,3880.0859,-1
2,3,10000,0.7060,-1,10.3930,-1,3880.0000,-1
2,4,10000,0.7333,-1,10.5389,-1,3880.0000,-1
2,5,10000,0.7508,-1,10.8378,-1,3880.1797,-1
2,6,10000,0.7751,-1,10.3351,-1,3852.1680,-1
2,7,10000,0.7946,-1,10.8088,-1,3853.9102,-1
2,8,10000,0.8125,-1,10.6134,-1,3880.1211,-1
2,9,10000,0.8228,-1,10.4575,-1,3852.1953,-1
3,0,10000,0.5657,-1,10.5349,-1,3880.6094,-1
3,1,10000,0.6429,-1,10.5379,-1,3880.5508,-1
3,2,10000,0.6708,-1,10.4300,-1,3880.7305,-1
3,3,10000,0.6973,-1,10.9159,-1,3852.7461,-1
3,4,10000,0.7196,-1,10.8386,-1,3880.5859,-1
3,5,10000,0.7433,-1,10.5257,-1,3880.5859,-1
3,6,10000,0.7661,-1,10.5289,-1,3852.7461,-1
3,7,10000,0.7923,-1,10.7332,-1,3880.6719,-1
3,8,10000,0.8146,-1,10.7312,-1,3852.8320,-1
3,9,10000,0.8273,-1,10.6138,-1,3880.5547,-1
4,0,10000,0.5736,-1,11.0814,-1,3852.6289,-1
4,1,10000,0.6407,-1,11.0053,-1,3880.4688,-1
4,2,10000,0.6640,-1,10.8441,-1,3852.7148,-1
4,3,10000,0.6892,-1,10.6069,-1,3880.6406,-1
4,4,10000,0.7105,-1,10.5306,-1,3880.5859,-1
4,5,10000,0.7308,-1,10.5686,-1,3852.6055,-1
4,6,10000,0.7533,-1,10.5028,-1,3852.6055,-1
4,7,10000,0.7689,-1,10.7640,-1,3880.4453,-1
4,8,10000,0.7860,-1,10.4547,-1,3880.4453,-1
4,9,10000,0.8134,-1,11.0613,-1,3880.4453,-1
5,0,10000,0.5806,-1,10.7612,-1,3880.3047,-1
5,1,10000,0.6461,-1,10.5343,-1,3880.2500,-1
5,2,10000,0.6749,-1,10.6992,-1,3880.2500,-1
5,3,10000,0.6979,-1,10.9254,-1,3880.2500,-1
5,4,10000,0.7199,-1,10.4803,-1,3880.3359,-1
5,5,10000,0.7448,-1,11.0005,-1,3880.3359,-1
5,6,10000,0.7623,-1,10.7882,-1,3866.4336,-1
5,7,10000,0.7913,-1,10.7513,-1,3880.3125,-1
5,8,10000,0.8143,-1,10.9195,-1,3880.3125,-1
5,9,10000,0.8291,-1,10.4552,-1,3880.1406,-1
6,0,10000,0.5547,-1,10.7767,-1,3852.7891,-1
6,1,10000,0.6228,-1,10.5572,-1,3852.7891,-1
6,2,10000,0.6500,-1,10.9843,-1,3852.7344,-1
