,Experience,naive_means,naive_stdevs,cumulative_means,cumulative_stdevs,replay_500_means,replay_500_stdevs,replay_2500_means,replay_2500_stdevs,lwf_means,lwf_stdevs
0,0,6.758276666666667,0.2323755530027494,6.446806666666667,0.11268237942701315,6.409933333333332,0.23823744234131913,6.703979999999999,0.7596471157057083,6.68559,0.15536571661727716
1,1,6.72989,0.28185741448470053,13.574433333333333,0.3959693907782938,11.461286666666666,0.7517712098992181,11.87533,1.1186233823767484,6.610496666666666,0.47457906678796313
2,2,6.902206666666667,0.33061586083146943,20.272423333333332,0.19000282901402596,11.503523333333334,0.8990427796458484,11.852253333333332,0.691958619740612,6.69156,0.2443800779523571
3,3,6.983896666666666,0.16004585509576105,27.29586,0.21108892415283068,11.308266666666666,0.7354141463375123,11.6444,0.29391442836308646,6.5041433333333325,0.26814527337496274
4,4,6.77743,0.04539678512846438,36.17091,2.835372097697231,11.229103333333335,0.5899628559776736,12.203703333333335,0.91931244755705,6.465366666666667,0.1843275807722044
5,5,6.729783333333334,0.12538347671576722,43.04150666666666,1.7059376432429565,11.130206666666668,0.4413836494857202,11.803006666666667,0.20221032350830503,6.425433333333333,0.1071096682533063
6,6,6.931586666666667,0.3675059896564045,50.27485000000001,1.6190189749042514,11.554623333333332,0.7149148476800115,12.184096666666667,0.4144902551729448,6.435823333333333,0.04464093898355385
7,7,6.903299999999999,0.12201285014292464,57.226319999999994,1.536427793584846,11.85609,1.17768625596973,11.864543333333335,0.390446173541672,6.30959,0.042751387111998905
8,8,6.9542,0.2807163018066457,64.28273,1.2017919147672764,11.943886666666666,1.342950917097619,12.550103333333334,0.3995757690768205,6.258703333333333,0.2029223216734254
9,9,6.975649999999999,0.3644069973257922,73.72454666666665,3.15786771788074,11.600703333333334,0.6909822300416509,12.520613333333335,0.7834694146763709,6.1866200000000005,0.12167952046256532
