,Experience,naive,cumulative,replay_500,replay_2500,lwf
0,0,7.003680000000001,6.3229,6.67724,6.4962599999999995,6.58609
0,0,6.729550000000001,6.54315,6.332559999999999,7.545880000000001,6.86462
0,0,6.5416,6.47437,6.220000000000001,6.069799999999999,6.606059999999999
0,1,7.042730000000001,13.71059,12.03904,11.40147,6.308019999999999
0,1,6.6512,13.884360000000001,11.73349,13.15289,6.3660000000000005
0,1,6.49574,13.128350000000001,10.611329999999999,11.071630000000003,7.157470000000001
0,2,6.73718,20.48877,12.41085,11.772870000000001,6.750310000000001
0,2,7.282850000000001,20.13268,11.48672,12.580479999999998,6.42316
0,2,6.68659,20.195819999999998,10.613,11.203409999999998,6.901210000000001
0,3,6.87423,27.39849,11.190230000000001,11.82636,6.355099999999998
0,3,7.16755,27.43601,12.095559999999999,11.80152,6.34363
0,3,6.909910000000001,27.05308,10.63901,11.30532,6.8137
0,4,6.725840000000001,34.654790000000006,11.060260000000001,12.01385,6.27323
0,4,6.795179999999999,39.44201,11.88508,13.203120000000002,6.482130000000001
0,4,6.81127,34.41593,10.74197,11.394140000000002,6.640740000000001
0,5,6.663050000000001,41.69763,11.604510000000001,11.5747,6.3105400000000005
0,5,6.65188,44.96073,11.0546,11.95954,6.44323
0,5,6.874420000000001,42.46616,10.731510000000002,11.87478,6.522530000000001
0,6,6.7868200000000005,49.99324,11.515099999999999,11.87922,6.389099999999999
0,6,7.34943,52.016200000000005,12.28848,12.656049999999999,6.44033
0,6,6.65851,48.81511,10.860289999999999,12.017019999999999,6.47804
0,7,7.0009999999999994,58.04359999999999,11.55319,11.98555,6.293850000000001
0,7,6.942359999999999,58.18137,13.15564,12.18016,6.35798
0,7,6.766540000000001,55.45399,10.85944,11.42792,6.276940000000001
0,8,6.8863900000000005,65.01673,11.430899999999998,12.0896,6.321599999999999
0,8,7.2626100000000005,64.93565000000001,13.46772,12.75559,6.42273
0,8,6.713600000000001,62.895810000000004,10.933039999999998,12.805119999999999,6.03178
0,9,6.835679999999999,74.99618999999998,11.33385,11.9082,6.28374
0,9,7.38929,76.04834,12.38532,12.250159999999997,6.22599
0,9,6.701980000000001,70.12911,11.08294,13.403480000000002,6.050130000000001
