,Experience,naive_means,naive_stdevs,cumulative_means,cumulative_stdevs,replay_500_means,replay_500_stdevs,replay_2500_means,replay_2500_stdevs,lwf_means,lwf_stdevs
0,0,10000.0,0.0,10000.0,0.0,10500.0,0.0,12500.0,0.0,10000.0,0.0
1,1,10000.0,0.0,20000.0,0.0,10500.0,0.0,12500.0,0.0,10000.0,0.0
2,2,10000.0,0.0,30000.0,0.0,10500.0,0.0,12500.0,0.0,10000.0,0.0
3,3,10000.0,0.0,40000.0,0.0,10500.0,0.0,12500.0,0.0,10000.0,0.0
4,4,10000.0,0.0,50000.0,0.0,10500.0,0.0,12500.0,0.0,10000.0,0.0
5,5,10000.0,0.0,60000.0,0.0,10500.0,0.0,12500.0,0.0,10000.0,0.0
6,6,10000.0,0.0,70000.0,0.0,10500.0,0.0,12500.0,0.0,10000.0,0.0
7,7,10000.0,0.0,80000.0,0.0,10500.0,0.0,12500.0,0.0,10000.0,0.0
8,8,10000.0,0.0,90000.0,0.0,10500.0,0.0,12500.0,0.0,10000.0,0.0
9,9,10000.0,0.0,100000.0,0.0,10500.0,0.0,12500.0,0.0,10000.0,0.0
