training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,5000,0.2872,-1,3.3703,-1,4025.8711,-1
0,1,5000,0.3722,-1,2.9531,-1,4025.8711,-1
0,2,5000,0.3900,-1,3.5450,-1,4025.8711,-1
0,3,5000,0.4138,-1,2.9487,-1,4026.1289,-1
0,4,5000,0.4348,-1,3.1022,-1,4026.1289,-1
0,5,5000,0.4568,-1,3.5232,-1,4026.1289,-1
0,6,5000,0.4572,-1,2.8018,-1,4026.1289,-1
0,7,5000,0.4682,-1,3.2487,-1,4026.1289,-1
1,0,5000,0.2828,-1,5.7640,-1,4026.3867,-1
1,1,5000,0.3377,-1,5.6034,-1,4026.3867,-1
1,2,5000,0.3570,-1,5.5032,-1,4026.3867,-1
1,3,5000,0.3740,-1,5.4904,-1,4026.3867,-1
1,4,5000,0.3926,-1,5.4688,-1,4026.3867,-1
1,5,5000,0.4001,-1,5.5132,-1,4026.6445,-1
1,6,5000,0.4117,-1,5.6162,-1,4026.6445,-1
1,7,5000,0.4218,-1,5.5784,-1,4026.6445,-1
2,0,5000,0.2735,-1,6.1275,-1,4026.9023,-1
2,1,5000,0.3330,-1,6.0507,-1,4026.9023,-1
2,2,5000,0.3555,-1,5.4330,-1,4026.9023,-1
2,3,5000,0.3716,-1,5.3808,-1,4026.9023,-1
2,4,5000,0.3948,-1,5.4294,-1,4026.9023,-1
2,5,5000,0.4089,-1,5.2785,-1,4026.9023,-1
2,6,5000,0.4169,-1,5.2901,-1,4026.9023,-1
2,7,5000,0.4291,-1,5.5686,-1,4027.1602,-1
3,0,5000,0.2907,-1,5.6981,-1,4027.4180,-1
3,1,5000,0.3437,-1,5.4535,-1,4027.4180,-1
3,2,5000,0.3625,-1,5.3685,-1,4027.4180,-1
3,3,5000,0.3759,-1,5.2805,-1,4027.6758,-1
3,4,5000,0.3924,-1,5.4243,-1,4027.6758,-1
3,5,5000,0.4085,-1,5.8291,-1,4027.6758,-1
3,6,5000,0.4166,-1,5.2869,-1,4027.6758,-1
3,7,5000,0.4405,-1,5.3826,-1,4027.6758,-1
4,0,5000,0.3167,-1,5.3726,-1,4027.9414,-1
4,1,5000,0.3797,-1,5.1702,-1,4027.9414,-1
4,2,5000,0.4050,-1,5.1396,-1,4027.9414,-1
4,3,5000,0.4185,-1,5.1891,-1,4027.9414,-1
4,4,5000,0.4342,-1,5.1862,-1,4027.9414,-1
4,5,5000,0.4555,-1,5.1086,-1,4027.9414,-1
4,6,5000,0.4631,-1,5.1052,-1,4027.9414,-1
4,7,5000,0.4768,-1,5.2754,-1,4027.9414,-1
5,0,5000,0.3607,-1,5.4074,-1,4028.1992,-1
5,1,5000,0.4292,-1,5.2069,-1,4028.1992,-1
5,2,5000,0.4570,-1,5.1274,-1,4028.1992,-1
5,3,5000,0.4750,-1,5.2577,-1,4028.1992,-1
5,4,5000,0.4876,-1,5.2934,-1,4028.1992,-1
5,5,5000,0.4983,-1,5.2104,-1,4028.1992,-1
5,6,5000,0.5115,-1,5.2998,-1,4028.1992,-1
5,7,5000,0.5251,-1,5.3661,-1,4028.1992,-1
6,0,5000,0.4109,-1,5.4457,-1,4028.4609,-1
6,1,5000,0.4871,-1,5.5148,-1,4028.4609,-1
6,2,5000,0.5143,-1,5.2370,-1,4028.4609,-1
6,3,5000,0.5300,-1,5.1918,-1,4028.4609,-1
6,4,5000,0.5441,-1,5.2764,-1,4028.4609,-1
6,5,5000,0.5562,-1,5.2198,-1,4028.4609,-1
6,6,5000,0.5738,-1,5.5147,-1,4028.4609,-1
6,7,5000,0.5824,-1,5.1627,-1,4028.4609,-1
7,0,5000,0.4298,-1,5.3665,-1,4028.4609,-1
7,1,5000,0.4977,-1,5.5776,-1,4028.4609,-1
7,2,5000,0.5196,-1,5.4289,-1,4028.4609,-1
7,3,5000,0.5354,-1,5.4985,-1,4028.4609,-1
7,4,5000,0.5566,-1,5.5119,-1,4028.4609,-1
7,5,5000,0.5630,-1,5.4625,-1,4028.4609,-1
7,6,5000,0.5689,-1,5.3895,-1,4028.4609,-1
7,7,5000,0.5784,-1,5.3315,-1,4028.4609,-1
8,0,5000,0.4362,-1,5.5076,-1,4028.9766,-1
8,1,5000,0.5055,-1,5.5254,-1,4028.9766,-1
8,2,5000,0.5324,-1,5.2780,-1,4028.9766,-1
8,3,5000,0.5464,-1,5.3330,-1,4028.9766,-1
8,4,5000,0.5595,-1,5.4195,-1,4028.9766,-1
8,5,5000,0.5714,-1,5.7483,-1,4028.9766,-1
8,6,5000,0.5786,-1,5.4524,-1,4028.9766,-1
8,7,5000,0.5963,-1,5.3398,-1,4028.9766,-1
9,0,5000,0.4828,-1,5.5406,-1,4029.2383,-1
9,1,5000,0.5629,-1,5.4290,-1,4029.2383,-1
9,2,5000,0.5821,-1,5.4052,-1,4029.2383,-1
9,3,5000,0.6025,-1,5.2240,-1,4029.2383,-1
9,4,5000,0.6112,-1,5.3547,-1,4029.2383,-1
9,5,5000,0.6291,-1,5.4612,-1,4029.2383,-1
9,6,5000,0.6394,-1,5.4002,-1,4029.2383,-1
9,7,5000,0.6465,-1,5.5161,-1,4029.2383,-1
