training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,10000,0.2088,-1,6.7210,-1,3625.7656,-1
0,1,10000,0.3186,-1,6.2951,-1,3625.9492,-1
0,2,10000,0.3804,-1,6.1473,-1,3625.9492,-1
0,3,10000,0.4224,-1,5.9969,-1,3625.9492,-1
0,4,10000,0.4732,-1,6.4012,-1,3625.9492,-1
0,5,10000,0.5134,-1,6.8942,-1,3625.9492,-1
0,6,10000,0.5488,-1,7.2013,-1,3625.9492,-1
0,7,10000,0.5898,-1,7.0494,-1,3625.9492,-1
0,8,10000,0.6218,-1,7.1131,-1,3625.9492,-1
0,9,10000,0.6549,-1,6.9529,-1,3625.8672,-1
1,0,10000,0.5490,-1,11.3639,-1,3628.9766,-1
1,1,10000,0.6441,-1,11.1940,-1,3628.9766,-1
1,2,10000,0.6696,-1,11.2075,-1,3628.9766,-1
1,3,10000,0.6905,-1,12.6596,-1,3628.9766,-1
1,4,10000,0.7116,-1,12.1745,-1,3628.9766,-1
1,5,10000,0.7328,-1,11.7077,-1,3628.9766,-1
1,6,10000,0.7558,-1,12.2974,-1,3628.9766,-1
1,7,10000,0.7739,-1,12.0451,-1,3628.9766,-1
1,8,10000,0.7937,-1,13.0574,-1,3628.9766,-1
1,9,10000,0.8085,-1,12.6833,-1,3628.9766,-1
2,0,10000,0.5733,-1,12.0109,-1,3629.3984,-1
2,1,10000,0.6522,-1,11.8047,-1,3629.4023,-1
2,2,10000,0.6846,-1,12.1366,-1,3629.5234,-1
2,3,10000,0.7087,-1,12.0850,-1,3629.5234,-1
2,4,10000,0.7330,-1,13.0471,-1,3629.5234,-1
2,5,10000,0.7471,-1,12.8896,-1,3629.5234,-1
2,6,10000,0.7713,-1,13.2864,-1,3629.5234,-1
2,7,10000,0.7920,-1,12.9742,-1,3629.5234,-1
2,8,10000,0.8110,-1,11.9892,-1,3629.5234,-1
2,9,10000,0.8252,-1,11.8848,-1,3629.5234,-1
3,0,10000,0.5658,-1,11.9551,-1,3629.5234,-1
3,1,10000,0.6402,-1,12.2406,-1,3629.5234,-1
3,2,10000,0.6723,-1,11.7344,-1,3629.5234,-1
3,3,10000,0.7010,-1,11.3093,-1,3629.5234,-1
3,4,10000,0.7274,-1,10.3490,-1,3629.5234,-1
3,5,10000,0.7440,-1,11.1454,-1,3629.5234,-1
3,6,10000,0.7682,-1,10.8018,-1,3629.5234,-1
3,7,10000,0.7899,-1,11.0167,-1,3629.5234,-1
3,8,10000,0.8089,-1,10.8571,-1,3629.5234,-1
3,9,10000,0.8254,-1,10.4929,-1,3629.5234,-1
4,0,10000,0.5729,-1,11.6060,-1,3629.8477,-1
4,1,10000,0.6381,-1,11.0498,-1,3630.0234,-1
4,2,10000,0.6649,-1,10.8976,-1,3630.0234,-1
4,3,10000,0.6864,-1,10.7444,-1,3630.0234,-1
4,4,10000,0.7073,-1,11.0283,-1,3630.0234,-1
4,5,10000,0.7277,-1,11.2621,-1,3630.0234,-1
4,6,10000,0.7512,-1,10.8855,-1,3630.0234,-1
4,7,10000,0.7675,-1,10.9647,-1,3630.0234,-1
4,8,10000,0.7883,-1,10.8965,-1,3630.0234,-1
4,9,10000,0.8029,-1,11.2677,-1,3630.0234,-1
5,0,10000,0.5767,-1,11.0771,-1,3630.2734,-1
5,1,10000,0.6489,-1,10.9871,-1,3630.2734,-1
5,2,10000,0.6743,-1,11.9044,-1,3630.2734,-1
5,3,10000,0.7010,-1,13.1777,-1,3630.2734,-1
5,4,10000,0.7215,-1,11.9596,-1,3630.2734,-1
5,5,10000,0.7418,-1,11.3823,-1,3630.2734,-1
5,6,10000,0.7670,-1,11.4445,-1,3630.2734,-1
5,7,10000,0.7855,-1,11.2309,-1,3630.2734,-1
5,8,10000,0.8091,-1,11.4368,-1,3630.2734,-1
5,9,10000,0.8209,-1,11.4447,-1,3630.2734,-1
6,0,10000,0.5591,-1,11.4209,-1,3630.6914,-1
6,1,10000,0.6166,-1,11.6319,-1,3630.6914,-1
6,2,10000,0.6517,-1,11.5824,-1,3630.6914,-1
6,3,10000,0.6774,-1,11.1792,-1,3630.6914,-1
6,4,10000,0.7015,-1,11.7357,-1,3630.6914,-1
6,5,10000,0.7172,-1,11.5464,-1,3630.6914,-1
6,6,10000,0.7460,-1,11.4516,-1,3630.6914,-1
6,7,10000,0.7626,-1,11.5457,-1,3630.6914,-1
6,8,10000,0.7885,-1,11.4442,-1,3630.6914,-1
6,9,10000,0.8078,-1,11.6130,-1,3630.6914,-1
7,0,10000,0.5859,-1,11.4521,-1,3631.1289,-1
7,1,10000,0.6540,-1,11.7619,-1,3631.1289,-1
7,2,10000,0.6852,-1,11.6953,-1,3631.1289,-1
