training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,10000,0.2084,-1,7.9632,-1,3660.3086,-1
0,1,10000,0.3156,-1,6.3957,-1,3660.4609,-1
0,2,10000,0.3770,-1,6.4028,-1,3660.4609,-1
0,3,10000,0.4252,-1,6.2842,-1,3660.4609,-1
0,4,10000,0.4669,-1,6.0886,-1,3660.4141,-1
0,5,10000,0.5122,-1,6.4332,-1,3660.4609,-1
0,6,10000,0.5546,-1,6.9195,-1,3660.4609,-1
0,7,10000,0.5891,-1,6.3105,-1,3660.4609,-1
0,8,10000,0.6198,-1,6.2386,-1,3660.4609,-1
0,9,10000,0.6529,-1,6.3952,-1,3669.6016,-1
1,0,20000,0.4432,-1,13.7970,-1,3663.2852,-1
1,1,20000,0.4982,-1,13.8776,-1,3663.4492,-1
1,2,20000,0.5326,-1,13.6642,-1,3663.4297,-1
1,3,20000,0.5526,-1,13.8944,-1,3663.4531,-1
1,4,20000,0.5795,-1,13.7597,-1,3672.6914,-1
1,5,20000,0.6066,-1,13.9901,-1,3671.7656,-1
1,6,20000,0.6292,-1,13.4414,-1,3672.7891,-1
1,7,20000,0.6512,-1,14.4968,-1,3672.5859,-1
1,8,20000,0.6615,-1,14.2240,-1,3663.4414,-1
1,9,20000,0.6830,-1,13.6984,-1,3663.4492,-1
2,0,30000,0.5485,-1,21.1852,-1,3678.8477,-1
2,1,30000,0.5663,-1,19.9924,-1,3678.2969,-1
2,2,30000,0.5772,-1,20.4725,-1,3669.6758,-1
2,3,30000,0.6043,-1,20.0416,-1,3678.6172,-1
2,4,30000,0.6147,-1,19.7973,-1,3669.4375,-1
2,5,30000,0.6221,-1,19.9664,-1,3678.6172,-1
2,6,30000,0.6435,-1,19.8918,-1,3669.4336,-1
2,7,30000,0.6458,-1,20.1850,-1,3669.4258,-1
2,8,30000,0.6655,-1,19.2135,-1,3669.4375,-1
2,9,30000,0.6823,-1,20.5811,-1,3678.7695,-1
3,0,40000,0.5837,-1,27.2676,-1,3674.9844,-1
3,1,40000,0.6091,-1,27.6060,-1,3675.0078,-1
3,2,40000,0.6181,-1,26.5468,-1,3675.1875,-1
3,3,40000,0.6291,-1,27.3568,-1,3675.0352,-1
3,4,40000,0.6504,-1,27.3274,-1,3684.0977,-1
3,5,40000,0.6636,-1,26.9103,-1,3684.2852,-1
3,6,40000,0.6654,-1,27.6489,-1,3675.0430,-1
3,7,40000,0.6837,-1,27.0055,-1,3672.8906,-1
3,8,40000,0.6822,-1,28.0841,-1,3662.1602,-1
3,9,40000,0.6918,-1,28.6067,-1,3662.1445,-1
4,0,50000,0.6140,-1,34.5892,-1,3666.6133,-1
4,1,50000,0.6299,-1,34.2782,-1,3666.2070,-1
4,2,50000,0.6323,-1,35.8947,-1,3666.1250,-1
4,3,50000,0.6483,-1,35.9046,-1,3666.0547,-1
4,4,50000,0.6507,-1,35.0130,-1,3665.9727,-1
4,5,50000,0.6643,-1,35.6273,-1,3623.8945,-1
4,6,50000,0.6615,-1,74.2913,-1,3538.1758,-1
4,7,50000,0.6724,-1,39.8738,-1,3237.1641,-1
4,8,50000,0.6681,-1,34.2008,-1,3243.0625,-1
4,9,50000,0.6772,-1,34.7472,-1,3243.0703,-1
5,0,60000,0.6095,-1,49.9976,-1,3238.6367,-1
5,1,60000,0.5644,-1,42.3050,-1,3225.2539,-1
5,2,60000,0.5441,-1,41.4425,-1,3225.3789,-1
5,3,60000,0.5477,-1,41.6490,-1,3225.2812,-1
5,4,60000,0.5687,-1,43.4740,-1,3225.1250,-1
5,5,60000,0.5882,-1,46.1976,-1,3225.2852,-1
5,6,60000,0.6035,-1,45.6771,-1,3225.3047,-1
5,7,60000,0.6117,-1,44.8719,-1,3225.2344,-1
5,8,60000,0.6149,-1,48.7679,-1,3223.2539,-1
5,9,60000,0.6223,-1,45.2247,-1,3216.1328,-1
6,0,70000,0.5938,-1,62.6001,-1,3231.8438,-1
6,1,70000,0.5799,-1,49.6816,-1,3231.8281,-1
6,2,70000,0.5837,-1,52.3881,-1,3232.0742,-1
6,3,70000,0.5894,-1,52.7825,-1,3231.9883,-1
6,4,70000,0.5895,-1,50.5418,-1,3231.9648,-1
6,5,70000,0.6089,-1,49.2483,-1,3232.0430,-1
6,6,70000,0.6071,-1,49.7062,-1,3232.0820,-1
6,7,70000,0.6095,-1,49.5304,-1,3232.0156,-1
6,8,70000,0.6026,-1,50.9748,-1,3229.0430,-1
6,9,70000,0.6194,-1,52.7082,-1,3232.3125,-1
7,0,80000,0.6028,-1,70.8937,-1,3239.4922,-1
7,1,80000,0.6234,-1,58.3709,-1,3239.5391,-1
7,2,80000,0.6317,-1,58.4426,-1,3239.5508,-1
7,3,80000,0.6388,-1,57.9715,-1,3239.7969,-1
7,4,80000,0.6464,-1,56.1815,-1,3239.8047,-1
7,5,80000,0.6536,-1,55.4126,-1,3239.8047,-1
7,6,80000,0.6589,-1,56.0330,-1,3239.7891,-1
7,7,80000,0.6595,-1,56.7672,-1,3239.8125,-1
7,8,80000,0.6689,-1,55.8074,-1,3239.8438,-1
7,9,80000,0.6774,-1,55.9333,-1,3240.0039,-1
8,0,90000,0.6308,-1,78.2238,-1,3247.8086,-1
8,1,90000,0.6303,-1,63.4564,-1,3245.6641,-1
8,2,90000,0.6406,-1,63.7997,-1,3245.7461,-1
8,3,90000,0.6343,-1,63.6708,-1,3245.8008,-1
8,4,90000,0.6407,-1,62.8872,-1,3245.8008,-1
8,5,90000,0.6463,-1,63.4455,-1,3245.8086,-1
8,6,90000,0.6448,-1,63.6167,-1,3246.0195,-1
8,7,90000,0.6483,-1,63.3952,-1,3246.0195,-1
8,8,90000,0.6506,-1,63.5447,-1,3246.0195,-1
8,9,90000,0.6537,-1,63.3165,-1,3246.2812,-1
9,0,100000,0.6312,-1,87.4285,-1,3252.7617,-1
9,1,100000,0.6412,-1,71.1930,-1,3252.8125,-1
9,2,100000,0.6425,-1,75.4675,-1,3252.9570,-1
9,3,100000,0.6457,-1,83.2125,-1,3252.9570,-1
9,4,100000,0.6485,-1,75.0338,-1,3252.9883,-1
9,5,100000,0.6538,-1,76.4718,-1,3253.2031,-1
9,6,100000,0.6566,-1,74.1637,-1,3253.2031,-1
9,7,100000,0.6600,-1,73.6070,-1,3253.2031,-1
9,8,100000,0.6621,-1,72.9771,-1,3253.2500,-1
9,9,100000,0.6667,-1,70.9285,-1,3253.4531,-1
